threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.11,0.13902410974616364,0.015626639036305522,0.9387820718924828,0.030741564705424048,0.7764611037234043
0.115,0.14653161317656999,0.015840013460405974,0.9322873127130088,0.031150760398269067,0.7607022938829787
0.12,0.15406617861445535,0.016080154001447113,0.9260497717188605,0.0316113999475375,0.7443284574468085
0.125,0.161875279076755,0.01634301227870148,0.9189762716224037,0.03211489541479025,0.7267627992021276
0.13,0.1701123066514394,0.016620537648676544,0.9101665487749984,0.03264494642206405,0.7077767619680851
0.135,0.17793797887727572,0.016936971699364534,0.9032216577712044,0.03325044001320927,0.6892536569148936
0.14,0.18540268353019781,0.017261884114705927,0.8960195485820848,0.033871236309848646,0.6708876329787234
0.145,0.19288606101731307,0.01759998165474225,0.8883673075686451,0.03451614313643433,0.6523803191489361
0.15,0.20032444274632633,0.017953542813202848,0.8798148029065654,0.035189016870512804,0.6333759973404255
0.155,0.20710975298505643,0.01832158163223972,0.8725483891711144,0.03588956203308061,0.6155269281914894
0.16,0.21363088274943812,0.018709112937664574,0.8648961481576748,0.036625946964539545,0.597490857712766
0.165,0.2199883121971038,0.01907802221588311,0.8558292071249437,0.03732402265971171,0.5797947140957447
0.17,0.2259402695675353,0.01943463158563486,0.8458620024435728,0.03799625641262652,0.5625274268617021
0.17500000000000002,0.23187732017224874,0.019854120545706254,0.8373738023278245,0.03878856479033711,0.5451163563829787
0.18,0.23749230680891587,0.020278889788984403,0.8290142113047393,0.03958936626919664,0.5283701795212766
0.185,0.24278883928801556,0.02072654877164289,0.821426274837631,0.04043287933124638,0.5122265625
0.19,0.2477437967639499,0.02116796993311591,0.8134525110925342,0.04126219925891133,0.49667636303191487
0.195,0.25224137866382795,0.021612531960496482,0.8066362291814031,0.042097138206743795,0.4823836436170213
0.2,0.25685196684924794,0.02206071943623001,0.7977622017876664,0.04293416945257723,0.46738447473404254
0.20500000000000002,0.2610698237448968,0.022535644794266053,0.7909459198765353,0.043822692672881414,0.4536253324468085
0.21,0.2650518783637013,0.02297554629612172,0.7836152015947527,0.044642186609908395,0.4408161569148936
0.215,0.2687708390964805,0.023416188927039127,0.7766703105909588,0.045461731294744685,0.42868766622340426
0.22,0.2720894537772711,0.023818447136124778,0.7683107195678734,0.046204505596708294,0.4169115691489362
0.225,0.2753133491399768,0.024216036798377267,0.7600154330911195,0.04693655483543017,0.4056391289893617
0.23,0.27833837497112535,0.024636405001853788,0.7520416693460228,0.04770986527419404,0.3945345744680851
0.23500000000000001,0.2811517104316843,0.025079902969555725,0.7452896919812231,0.04852681954638519,0.38407829122340426
0.24,0.2839738527679947,0.025546625760051577,0.7389235418944119,0.04938584653469602,0.37384059175531914
0.245,0.28648902161857437,0.025957318686532303,0.7317857372516237,0.05013624458380969,0.3643716755319149
0.25,0.28904401109230365,0.026384062789761072,0.724583628062504,0.05091420089601403,0.3549501329787234
0.255,0.2913283461370252,0.026830977801674476,0.7187962188926758,0.051730960132728925,0.34625
0.26,0.29348805314799004,0.02723259545065307,0.7116584142498875,0.05245781973223618,0.3377559840425532
0.265,0.2955933447617259,0.027634927400621956,0.7045849141534306,0.05318389872877037,0.32953041888297874
0.27,0.2975293431547866,0.02805383610653643,0.6988618095299338,0.05394231031718654,0.32197307180851065
0.275,0.29956203779411794,0.02846433823918403,0.6919812230724712,0.05467946128459387,0.3142054521276596
0.28,0.3015449830239698,0.028903191523971673,0.6855507684393286,0.05546782933535899,0.3065591755319149
0.28500000000000003,0.30327204510805555,0.029308723547670366,0.6794418365378432,0.056193459519542195,0.2996235039893617
0.29,0.30492606464541266,0.029749212829809402,0.6737830364606777,0.05698250498964004,0.29272855718085106
0.295,0.306499423724248,0.030066562892058918,0.6657449681692496,0.057534726177939186,0.2861835106382979
0.3,0.308062748649742,0.030434046194852776,0.6586071635264613,0.05817962860924444,0.27969664228723407
0.305,0.3097306747496123,0.030846428180191586,0.6518551861616616,0.05890539515775221,0.2731283244680851
0.31,0.31122112594034473,0.031268003001927586,0.6456819497138447,0.05964749701495197,0.26689411569148935
0.315,0.31264012133315494,0.03170033407324134,0.6400874541830107,0.06040891629292923,0.2609732380319149
0.32,0.3140232063801566,0.032141252173686505,0.634685872291171,0.06118406982546733,0.25522107712765957
0.325,0.3154065454109419,0.03256122302805382,0.6285126358433542,0.06191483700953998,0.24947888962765957
0.33,0.31670447295267107,0.032971188536737424,0.6223393993955373,0.06262456321987835,0.24395694813829788
0.335,0.3179404794536529,0.03337267312117699,0.6164233811330461,0.0633173927976961,0.23873088430851064
0.34,0.31909450151076096,0.03378907362067984,0.6105716674168864,0.06403447543321902,0.2335505319148936
0.34500000000000003,0.3203129541617743,0.03415133371210466,0.6029837309497782,0.06464154858456586,0.22820146276595746
