threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.365,0.343998860649936,0.09257731958762887,0.028872741302810107,0.044017450124993876,0.004030917553191489
0.37,0.3429148946969341,0.09376454164727781,0.02591473217156453,0.040606579676558015,0.0035721409574468086
0.375,0.34181959999006234,0.09446339543426922,0.02314963667931323,0.03718624109079641,0.0031673869680851063
0.38,0.3412656494493361,0.09861642625846335,0.021542023021027586,0.03535993244669622,0.0028233045212765957
0.385,0.3405806597987835,0.10252996005326231,0.019805800270079093,0.03319859876044193,0.0024966755319148935
0.39,0.3394209068832828,0.10116148370176097,0.01736222750948492,0.029637760702524697,0.002218251329787234
0.395,0.3385644293798255,0.10129761406446212,0.015561700212205003,0.02697881828316611,0.0019855385638297873
0.4,0.3378420410837282,0.10425633668101388,0.014018391100250788,0.024713751275365604,0.0017378656914893618
0.405,0.33701398740836447,0.10684474123539232,0.01234647289563372,0.02213511643993544,0.0014935172872340425
0.41000000000000003,0.3365053374589344,0.1116751269035533,0.011317600154330911,0.020552344251766216,0.0013098404255319149
0.41500000000000004,0.33554840084437565,0.10907759882869693,0.00958137740338242,0.017615416444996156,0.0011353058510638297
0.42,0.33486219005783296,0.1079734219269103,0.008359591023085332,0.015517755893763056,0.0010006648936170214
0.425,0.3342030056092867,0.1063627730294397,0.00720210918911967,0.013490725126475547,0.0008751662234042553
0.43,0.3338785330580876,0.10934182590233546,0.00662336827213684,0.01249014733523313,0.0007829122340425532
0.435,0.33335503275666695,0.10933660933660934,0.005723104623496881,0.010876871371830125,0.0006765292553191489
0.44,0.3331450375474534,0.11448275862068966,0.005337277345508327,0.01019906610960924,0.0006025598404255319
0.445,0.3328832970166651,0.11764705882352941,0.004887145521188348,0.009384453911218126,0.0005369015957446808
0.45,0.3326144965588243,0.11815068493150685,0.004437013696868369,0.008552835450883173,0.0004853723404255319
0.455,0.33238285981847443,0.11753731343283583,0.0040511864188798145,0.007832411263753341,0.0004454787234042553
0.46,0.33222849483676076,0.1194331983805668,0.0037939682335541122,0.007354315986288563,0.0004105718085106383
0.465,0.3320708289912465,0.11982570806100218,0.00353675004822841,0.006870705808869456,0.00038148271276595747
0.47000000000000003,0.33174904535049105,0.11463414634146342,0.0030223136775770045,0.005889355303552409,0.00034075797872340426
0.47500000000000003,0.3316283869011545,0.11548556430446194,0.002829400038582728,0.0055234747677629925,0.000316655585106383
0.48,0.3313453510678583,0.10787172011661808,0.0023792682142627485,0.004655844972945766,0.00028507313829787234
0.485,0.3311805361813269,0.10576923076923077,0.002122050028937046,0.004160625354598752,0.00025930851063829785
0.49,0.33101993760104725,0.10211267605633803,0.0018648318436113433,0.0036627723397537103,0.0002360372340425532
0.495,0.3308963151143416,0.10116731517509728,0.0016719182046170664,0.003289473684210526,0.0002135970744680851
0.5,0.33081827484995213,0.10212765957446808,0.001543309111954215,0.003040668947168377,0.0001953125
0.505,0.33073786910387887,0.1,0.001414700019291364,0.0027899308858030563,0.00018284574468085106
0.51,0.3307401773847922,0.10628019323671498,0.001414700019291364,0.002792232516816855,0.00017204122340425533
0.515,0.33074107825622207,0.11458333333333333,0.001414700019291364,0.002794892968303373,0.00015957446808510637
0.52,0.33053153062316615,0.09770114942528736,0.0010931772876342357,0.002162162162162162,0.00014461436170212766
0.525,0.33049236340904836,0.09696969696969697,0.00102887274130281,0.0020361415118350726,0.0001371343085106383
0.53,0.33040766496440194,0.08974358974358974,0.0009002636486399588,0.0017826446807156044,0.00012965425531914892
0.535,0.33040992845203154,0.0945945945945946,0.0009002636486399588,0.001783553092553666,0.00012300531914893618
0.54,0.33036836060161817,0.09090909090909091,0.0008359591023085332,0.0016566840830890787,0.0001188497340425532
0.545,0.33028503439869705,0.08333333333333333,0.000707350009645682,0.0014027928330038895,0.00010970744680851064
0.55,0.3302437970808173,0.08,0.0006430454633142563,0.0012758356723653994,0.00010388962765957447
0.555,0.3302458730563139,0.08620689655172414,0.0006430454633142563,0.0012765685836471565,9.640957446808511e-05
0.56,0.33015975687396254,0.07476635514018691,0.000514436370651405,0.0010218418699706221,8.892952127659574e-05
0.5650000000000001,0.33015930735228816,0.07766990291262135,0.000514436370651405,0.0010221029768749201,8.560505319148936e-05
0.5700000000000001,0.3301173461087648,0.07608695652173914,0.0004501318243199794,0.0008949689957169341,7.64627659574468e-05
0.5750000000000001,0.3301187967053502,0.08045977011494253,0.0004501318243199794,0.0008952551477170994,7.230718085106383e-05
0.58,0.3300773669722134,0.075,0.00038582727798855377,0.0007677052012027381,6.648936170212766e-05
0.585,0.33007700841461163,0.07792207792207792,0.00038582727798855377,0.0007678525723061172,6.399601063829788e-05
0.59,0.32999082897721893,0.05714285714285714,0.0002572181853257025,0.0005121311055630241,5.8178191489361705e-05
0.595,0.3299904540944952,0.05970149253731343,0.0002572181853257025,0.0005122294788065053,5.568484042553191e-05
0.6,0.32999097421684914,0.06349206349206349,0.0002572181853257025,0.0005123607019341616,5.2360372340425534e-05
0.605,0.3299912404502317,0.06779661016949153,0.0002572181853257025,0.0005124919923126201,4.903590425531915e-05
0.61,0.3299926503300548,0.07407407407407407,0.0002572181853257025,0.000512656199935918,4.488031914893617e-05
0.615,0.32999341159336065,0.07692307692307693,0.0002572181853257025,0.0005127219124527334,4.321808510638298e-05
0.62,0.32995055884865093,0.058823529411764705,0.00019291363899427689,0.0003845660812716318,4.2386968085106386e-05
0.625,0.3299504329314398,0.06,0.00019291363899427689,0.00038459073136337413,4.1555851063829786e-05
0.63,0.32995018286640515,0.06666666666666667,0.00019291363899427689,0.00038471402923826624,3.740026595744681e-05
